ModuleId,UniversityName,ModuleName,LinkToCourseOutline,Description,Faculty,AY,Semester,Credits,Difficulty,Popularity
GL4101,National University of Singapore (NUS),Research in Global Issues,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
GL4881A,National University of Singapore (NUS),"Colonial, Anticolonial and Postcolonial Globalizations",https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
GL4882B,National University of Singapore (NUS),Contested Globalisation: Resistance and Resilience,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
GL4882D,National University of Singapore (NUS),Global Corporations and Power,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
GL4883B,National University of Singapore (NUS),Climate Justice,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
GL4884A,National University of Singapore (NUS),Glocal Media Worlds,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
GL4886A,National University of Singapore (NUS),Citizenship and the Politics of Belonging,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
HY1101E,National University of Singapore (NUS),Asia and the Modern World,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
HY2206,National University of Singapore (NUS),China's Imperial Past: History & Culture,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
HY2255,National University of Singapore (NUS),Islam in World History,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
HY2258,National University of Singapore (NUS),Passage to India: Modern Indian Society,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
HY2265,National University of Singapore (NUS),Buddhism in World History,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
HY3245,National University of Singapore (NUS),Engendering History/Historicising Gender,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
HY3250,National University of Singapore (NUS),Approaches to Singapore History,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
HY3257,National University of Singapore (NUS),The Philippines: A Social and Cultural History,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
HY3259,National University of Singapore (NUS),Issues in Korean Cultural History since 1945,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
HY3262,National University of Singapore (NUS),Buddhism In Southeast Asian History,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
JS1101E,National University of Singapore (NUS),Introduction to Japan,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
JS2214,National University of Singapore (NUS),Ideas and Images in Japanese Culture,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
JS2216,National University of Singapore (NUS),Postwar Japanese Film and Anime,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
JS3213,National University of Singapore (NUS),Alternative Lives in Contemporary Japan,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
JS3222,National University of Singapore (NUS),Japanese Business Management,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
JS3230,National University of Singapore (NUS),Men and Women in Modern Japanese Literature,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
LAB1201,National University of Singapore (NUS),Bahasa Indonesia 1,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
LAC1201,National University of Singapore (NUS),Chinese 1,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
LAF1201,National University of Singapore (NUS),French 1,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
